RA,DEC,kic_kepler_id,Tef,logg,[Fe/H],m_g,dist(pc),M_g,BC,M_bol,L,e_L,R,e_R,M,e_M
284.862361488,38.6943546602,3525260,5253.0,3.83,-0.22,15.278649300000001,1905.80164,3.88,0.025,3.9,2.16,0.04,1.78,0.01,1.09,0.07
284.888638644,38.6718393293,3525322,5639.0,4.32,-0.56,17.0108833,2440.67334,5.07,0.046,5.12,0.71,0.01,0.88,0.01,0.92,0.06
284.916022229,38.6663019854,3525404,5693.0,4.09,-0.42,16.006139800000003,2224.66797,4.27,0.049,4.32,1.47,0.03,1.25,0.01,1.04,0.07
284.926720651,38.6824535196,3525434,5198.0,3.74,-1.0,16.9586945,4166.3222700000015,3.86,0.007,3.87,2.23,0.05,1.85,0.01,0.94,0.06
284.935803898,38.6288812948,3525463,5067.0,3.68,-0.44,14.4713755,1503.0991199999999,3.59,0.003,3.59,2.89,0.06,2.21,0.01,1.06,0.07
284.940435545,38.6541973588,3525478,5794.0,4.14,-0.49,16.7205811,2892.97534,4.41,0.051,4.47,1.29,0.03,1.13,0.01,1.03,0.07
284.948439807,38.605504199,3525496,5726.0,4.23,-0.49,16.4757671,2400.23584,4.57,0.049,4.62,1.11,0.02,1.08,0.01,0.98,0.06
284.953175301,38.6402934837,3525506,5750.0,4.31,-0.66,17.130796399999998,2345.35693,5.28,0.046,5.33,0.58,0.01,0.77,0.01,0.93,0.06
284.960703835,38.6314651733,3525519,5549.0,4.44,-0.34,17.0083332,1688.8333699999994,5.87,0.034,5.9,0.34,0.01,0.63,0.01,0.92,0.06
284.960551688,38.607683718000004,3525520,5834.0,3.86,-0.37,15.944175699999999,3410.4431200000013,3.28,0.052,3.33,3.66,0.07,1.88,0.02,1.22,0.08
284.97102806099997,38.685481273600004,3525558,5818.0,4.07,-0.98,16.273162799999998,2761.63281,4.07,0.024,4.09,1.82,0.04,1.33,0.01,0.96,0.06
284.972678551,38.648233240100005,3525560,5112.0,4.59,-0.3,15.5357199,843.05304,5.91,-0.004,5.9,0.34,0.01,0.75,0.0,0.79,0.05
285.019460999,38.6242232229,3525667,5517.0,4.35,-0.22,15.1055717,955.809265,5.2,0.054,5.26,0.62,0.01,0.86,0.01,0.95,0.06
285.019436547,38.6406754376,3525669,5611.0,4.3,-0.53,15.7121744,1355.44592,5.05,0.034,5.09,0.73,0.01,0.91,0.01,0.92,0.06
285.027460105,38.6652397883,3525683,5411.0,4.17,0.0,15.154180499999999,1213.39917,4.73,0.056,4.79,0.96,0.02,1.12,0.01,1.03,0.07
285.045987066,38.622588729200004,3525733,5526.0,4.1,0.09,14.661955800000001,997.816406,4.67,0.056,4.72,1.02,0.02,1.1,0.01,1.12,0.07
285.046766431,38.6919683682,3525734,5687.0,4.01,-0.3,15.232600199999998,1820.07458,3.93,0.049,3.98,2.01,0.04,1.47,0.01,1.11,0.07
285.05328686400003,38.6952830985,3525744,5987.0,4.2,-0.16,14.6683388,1243.09485,4.2,0.079,4.28,1.53,0.03,1.15,0.01,1.14,0.07
285.056843968,38.6248207549,3525752,6086.0,4.1,-0.38,15.005313899999999,1573.55872,4.02,0.054,4.07,1.85,0.04,1.23,0.02,1.16,0.07
285.057188732,38.6985750548,3525755,5807.0,4.22,-0.53,14.4579725,926.060791,4.62,0.051,4.68,1.06,0.02,1.02,0.01,1.0,0.06
285.06220673,38.6914841637,3525766,5591.0,4.3,-0.48,15.467374800000002,1378.11255,4.77,0.034,4.8,0.94,0.02,1.04,0.01,0.93,0.06
285.068112488,38.6272590282,3525774,5610.0,4.17,-0.11,16.2452831,2770.37451,4.03,0.056,4.09,1.82,0.04,1.43,0.01,1.06,0.07
285.07961549099997,38.6698484239,3525803,6361.0,4.09,-0.42,15.6031389,3068.37476,3.17,0.069,3.24,3.99,0.08,1.65,0.02,1.23,0.08
285.089542185,38.6007163441,3525825,5435.0,3.89,-0.82,16.0257854,2829.5190399999997,3.77,0.015,3.78,2.42,0.05,1.76,0.01,0.97,0.06
285.08961026099996,38.608309906100004,3525826,5401.0,4.44,-0.11,15.948622699999998,1580.46521,4.95,0.054,5.01,0.78,0.02,1.01,0.01,0.92,0.06
285.096337221,38.618860833,3525842,5817.0,4.21,-0.15,14.8874731,1210.55859,4.47,0.075,4.55,1.19,0.02,1.08,0.01,1.09,0.07
285.09897563,38.6827723954,3525845,5914.0,4.13,-0.36,15.6570702,1800.2941899999994,4.38,0.054,4.43,1.33,0.03,1.1,0.01,1.1,0.07
285.115302879,38.6578774079,3525887,5612.0,4.3,0.02,15.849020999999999,1388.96936,5.14,0.054,5.19,0.66,0.01,0.86,0.01,1.05,0.07
285.128854569,38.6840739765,3525914,5467.0,4.07,-0.47,16.0700188,2284.1142600000007,4.28,0.036,4.31,1.48,0.03,1.36,0.01,0.98,0.06
285.13369691099996,38.6570642336,3525925,5695.0,4.27,-1.39,16.8375378,2434.44629,4.91,-0.001,4.9,0.86,0.02,0.96,0.01,0.78,0.05
